Preset,Section,Key Cnt,Value Type,,,
Value,GlobalText,784,0-%d 1-%u 2-%f 3-%s 4-b,,,
Index,Dat,Type,Key,Value_KR,Value_US,Comment
0,3,string,Intro_01,"??? ? ???, ????? ???? ?????.",,??? ???
1,3,string,Intro_02,???? ?? ??? ??? ??? ??..,,??? ???
2,3,string,Intro_03,???? ? ?? ??? ???? ???.,,??? ???
3,3,string,Intro_04,"???? ???? ?? ??? ?????,",,??? ???
4,3,string,Intro_05,OMD?? ??? ??? ????? ?????.,,??? ???
5,3,string,Intro_06,??? ?? ??? ?????.,,??? ???
6,3,string,Intro_07,??? ????? ??? ??? ??? ????...,,??? ???
7,3,string,Intro_08,? ????? ??? ???? ??? ???? ??? ??? ????.,,??? ???
8,3,string,Intro_09,OMD ??? ?????? ? ????? HUV?? ????,,??? ???
9,3,string,Intro_10,??? ???? ?? ? ??? ??????? ??? ??? ??.,,??? ???
10,3,string,Intro_11,???? ? ??? ?? ??????,,??? ???
11,3,string,Intro_12,     ?? ??? ?? ?????? ??? ???..,,??? ???
0,3,string,B0_IntroName,??? - ???,,??? ??
1,3,string,B0_IntroText,??? ?????? ?? ??? ?? ??? ??? ? ?? ????. ??? ?? ??? ?? ?????? ?? ? ????. ,,??????? ???? ???? ?? ??
2,3,string,B0_IntroCharUIName,ch_1st_0003_01,,???
3,3,string,B1_IntroName,??? - ??,,?? ??
4,3,string,B1_IntroText,"??? ???? ?? ?? ?????!
??? ??? ????? ?? ?? ?? ???!!",,??????? ???? ??? ?? ??
5,3,string,B1_IntroCharUIName,ch_1st_0032_01,,??
6,3,string,B2_IntroName,??? - ?,,?? ??
7,3,string,B2_IntroText,"?? 1? ??? ???? ?? ?? ?????!
??? ??? ????? ?? ?? ?? ???!!",,??????? ???? ?? ?? ??
8,3,string,B2_IntroCharUIName,ch_1st_0032_01,,??
9,3,string,Index0,??? ????,,Index Title
10,3,string,Index1,?????,,Index Title
11,3,string,Index2,????,,Index Title
12,3,string,Index3,???,,Index Title
13,3,string,Index4,????,,Index Title
14,3,string,Index5,??? ??,,Index Title
15,3,string,Index6,?? ???,,Index Title
16,3,string,Index7,???,,Index Title
17,3,string,Index8,?? ????,,Index Title
18,3,string,Index9,?? ??,,Index Title
19,3,string,Index10,????,,Index Title
20,3,string,Index11,???? ????,,Index Title
21,3,string,Index12,??? ????,,Index Title
22,3,string,Index13,??? ??/???,,Index Title
23,3,string,Index14,???? ????,,Index Title
24,3,string,Index15,???/????,,Index Title
25,3,string,Index16,??? ????,,Index Title
26,3,string,Index17,?-??/??,,Index Title
27,3,string,Index18,?-??/??,,Index Title
28,3,string,Index19,???,,Index Title
29,3,string,Index20,???-???,,Index Title
30,3,string,EnableEventPopup,0,0,Show event popup window at close
31,3,string,MainDomain_Alpha,www.pcbang.com,www.pcbang.com,Main domain - For test server
32,3,string,MainDomain_Real,www.pcbang.com,www.pcbang.com,Main domain - For real server
33,3,string,SubAddressBegin,_event/boomup/SkidRush_pop1_check.jsp?memberid=,_event/boomup/SkidRush_pop1_check.jsp?memberid=,Sub first domain
34,3,string,SubAddressEnd,,,Sub last domain
35,3,string,ShowPopupFullscreen,0,0,Web Window Screen
36,3,string,PopupWidth,455,455,Window Width
37,3,string,PopupHeight,435,435,Window Height
38,3,string,EnableIEMinimize,1,1,Minimize IE at startup
39,3,string,moonpalace_turotial,????,Tutorial,???? ??
40,3,string,moonpalace_track01,???? ??,The MoonPalace Downtown,???
41,3,string,moonpalace_track02,?????,The Moon Island,???
42,3,string,moonpalace_track03,???? ??,The MoonPalace Crossing,???
43,3,string,moonpalace_track04,????,The Polygon Street,???
44,3,string,moonpalace_track05,???? ??,The Windy Hill,???
45,3,string,moonpalace_track06,???? ???,The Elmarion Univercity,???
46,3,string,moonpalace_track07,M??? ???,The Crossroad of M-Mart,???
47,3,string,moonpalace_track08,????,The Mitos Mountain,???
48,3,string,moonpalace_track09,???? ?? ???,The MoonPalace Downtown Reverse,???
49,3,string,moonpalace_track10,????? ???,The Moon Island Reverse,???
50,3,string,moonpalace_track11,???? ?? ???,The MoonPalace Crossing Reverse,???
51,3,string,moonpalace_track12,???? ???,The Polygon Street Reverse,???
52,3,string,moonpalace_track13,???? ?? ???,The Windy Hill Reverse,???
53,3,string,moonpalace_track14,???? ??? ???,The Elmarion Univercity Reverse,???
54,3,string,moonpalace_track15,M??? ??? ???,The Crossroad of M-Mart Reverse,???
55,3,string,moonpalace_track16,???? ???,The Mitos Mountain Reverse,???
56,3,string,koinonia_track01,????? ???,The Koinonia Observatory,???
57,3,string,koinonia_track02,????? ??,The Koinonia Port,???
58,3,string,koinonia_track03,??? ??,The Frau Tunnel,???
59,3,string,koinonia_track04,????? ?? ??,The Koinonia Narrow Road,???
60,3,string,koinonia_track05,????? ???,The Koinonia Factory,???
61,3,string,koinonia_track06,???? ?????,The Zigzag Crossway,???
62,3,string,koinonia_track07,????? ???,The Koinonia Apartment,???
63,3,string,koinonia_track08,????? ??? ???,The Koinonia Observatory Reverse,???
64,3,string,koinonia_track09,????? ?? ???,The Koinonia Port Reverse,???
65,3,string,koinonia_track10,??? ?? ???,The Frau Tunnel Reverse,???
66,3,string,koinonia_track11,????? ?? ?? ???,The Koinonia Narrow Road Reverse,???
67,3,string,koinonia_track12,????? ??? ???,The Koinonia Factory Reverse,???
68,3,string,koinonia_track13,???? ????? ???,The Zigzag Crossway of Traffic Jam,???
69,3,string,koinonia_track14,????? ??? ???,The Koinonia Apartment Reverse,???
70,3,string,cras_track01,?????,The Orc Shopping Quarters,???
71,3,string,cras_track02,??? ???,The Cras Rocky Mountain,???
72,3,string,cras_track03,??? ????,The Cras Stope,???
73,3,string,cras_track04,??? ????,The Cras Engineering College,???
74,3,string,cras_track05,?? ????,The Higher Rank Mountain Way,???
75,3,string,cras_track06,??? ????,The Cras High Level Road,???
76,3,string,cras_track07,??? ?????,The Cras Gymnasium,???
77,3,string,cras_track08,????? ???,The Orc Shopping Quarters Reverse,???
78,3,string,cras_track09,??? ??? ???,The Cras Rocky Mountain Reverse,???
79,3,string,cras_track10,??? ???? ???,The Cras Stope Reverse,???
