1: Cmd_Error
2: Cmd_Ping
3: Cmd_GlobalTime
4: Cmd_Latency
8: Cmd_SystemMessage
9: Cmd_ScriptMessage
22: Cmd_UserAuthAck
23: Cmd_ServerList
25: Cmd_ServerMessageAck
26: Cmd_UserAuthEtc
28: Cmd_UserAuthSecondAck
30: Cmd_GameSetting
32: Cmd_ServerSetting
42: Cmd_CheckInLobbyAck
44: Cmd_ClientAuth
47: Cmd_LobbyTimeAck
50: Cmd_SetCharacterState
61: Cmd_UserInfoAck
65: Cmd_GetImageAck
68: Cmd_GetImageData
70: Cmd_LobbyETCInfo
72: Cmd_StickerUploadAck
74: Cmd_StickerListAck
79: Cmd_StickerReportAttachAck
81: Cmd_CheckCharNameAck
83: Cmd_CreateCharAck
84: Cmd_DeleteChar
86: Cmd_BuyCarAck
88: Cmd_SellCarAck
90: Cmd_SelectCarAck
92: Cmd_UpgradeCarAck
94: Cmd_StickerNameCheckAck
96: Cmd_DeleteStickerCatalogAck
97: Cmd_NotifyBadSticker
98: Cmd_RewardCar
99: Cmd_ChangeCarGrade
101: Cmd_ChannelListAck
105: Cmd_RentCarAck
107: Cmd_RenameCharAck
109: Cmd_ReturnRentCarAck
111: Cmd_CheckInCGameAck
115: Cmd_LadderListRes
117: Cmd_LadderSearchRes
121: Cmd_CheckInGameAck
124: Cmd_LoadCharAck
126: Cmd_JoinChannelAck
128: Cmd_LeaveChannelAck
130: Cmd_GameStream
132: Cmd_MailContent
136: Cmd_CheckEventAck
137: Cmd_NotifyEvent
138: Cmd_MoneyMessage
139: Cmd_InstantEvent
140: Cmd_OpenChat
141: Cmd_CloseChat
143: Cmd_JoinChatAck
145: Cmd_LeaveChatAck
147: Cmd_ChatMsgAck
148: Cmd_Whisper
150: Cmd_PrivateChatMsgAck
151: Cmd_RecommendEvent
153: Cmd_RecommendFriendAck
154: Cmd_RecommendFriendReward
156: Cmd_ExitClient
158: Cmd_ResCouponItem
161: Cmd_CarPosAck
163: Cmd_PvpQuickSlot
170: Cmd_DormantEvent
181: Cmd_ChaseBeginConfirm
184: Cmd_ChaseResult
185: Cmd_ChaseProgress
186: Cmd_ChasePropose
187: Cmd_ChaseHit
188: Cmd_ChaseSwitch
191: Cmd_HuvRes
192: Cmd_HuvHit
193: Cmd_HuvResult
195: Cmd_HuvTimeout
196: Cmd_HuvTimeBonus
197: Cmd_HuvHealth
199: Cmd_NeoHuvRes
201: Cmd_BattleRes
205: Cmd_NeoHuvHit
206: Cmd_NeoHuvEnd
207: Cmd_NeoHubTargeting
208: Cmd_NeoAggro
222: Cmd_BlockListAck
224: Cmd_BlockDelAck
225: Cmd_UpdateFriend
227: Cmd_BlockAddByNameAck
229: Cmd_PartyPreCheckAck
231: Cmd_FriendListAck
234: Cmd_FriendAddAck
237: Cmd_FriendDelAck
238: Cmd_FriendRequest
239: Cmd_FriendRequestAck
240: Cmd_PartyInvite
241: Cmd_PartyReject
242: Cmd_PartyJoin
243: Cmd_PartyJoinResult
244: Cmd_PartyLeave
245: Cmd_PartyBanish
246: Cmd_PartyApply
247: Cmd_PartyAccept
248: Cmd_PartyUpdate
251: Cmd_UnderCityStageAck
252: Cmd_UnderCitySuggest
253: Cmd_UnderCityAgree
254: Cmd_UnderCityReject
